track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p
A,A_nophys_s44,MaxEnt_v2agg,0.9433378322057884,0.9662690576114136,-0.0229312254056254,0.0032365055111089,"[-0.029274776207398892, -0.01658767460385195]",-7.085180398091944,1.388632907187217e-12
A,A_full_s42,LogReg_v2agg,0.9398620090009756,0.956080868241999,-0.0162188592410232,0.0034837828857318,"[-0.023047073697057673, -0.0093906447849889]",-4.655531005519659,3.231467696739068e-06
A,A_nophys_s42,LogReg_v2agg,0.9447639222736994,0.956080868241999,-0.0113169459682995,0.0032808562011245,"[-0.017747424122503633, -0.004886467814095516]",-3.449387987324976,0.0005618587788226
A,A_full_s43,LogReg_v2agg,0.9394822904349288,0.956080868241999,-0.0165985778070703,0.0035034984385088,"[-0.02346543474654774, -0.009731720867592863]",-4.737715200505333,2.1614127931984767e-06
A,A_nophys_s43,LogReg_v2agg,0.94687827117297,0.956080868241999,-0.009202597069029,0.0031943845524366,"[-0.015463590791804833, -0.002941603346253246]",-2.880867008328548,0.0039658293846454
A,A_full_s44,LogReg_v2agg,0.9369366313218448,0.956080868241999,-0.0191442369201543,0.0034710949374813,"[-0.025947582997617735, -0.01234089084269091]",-5.515330829310478,3.4812446932829025e-08
A,A_nophys_s44,LogReg_v2agg,0.9433378322057884,0.956080868241999,-0.0127430360362107,0.0033530184011861,"[-0.019314952102535594, -0.006171119969885889]",-3.800467075188976,0.0001444236074114
B3,B3_nophys_s42,null_climatological_frequency,0.905093377741632,0.908355983224128,-0.0032626054824959,0.0003365773976922,"[-0.00392229718197269, -0.002602913783019122]",-9.69347765139952,3.2139472092257835e-22
B3,B3_nophys_s43,null_climatological_frequency,0.904303314574322,0.908355983224128,-0.0040526686498059,0.0003434753428646,"[-0.004725880321820672, -0.0033794569777911535]",-11.79900896525966,3.9493515044659476e-32
B3,B3_nophys_s44,null_climatological_frequency,0.903668966325184,0.908355983224128,-0.004687016898944,0.0003566962593064,"[-0.005386141567184702, -0.003987892230703336]",-13.140078642980574,1.9402499164525952e-39
B3,B3_diff_s42,null_climatological_frequency,0.8854173707622436,0.908355983224128,-0.0229386124618844,0.0005964302393567,"[-0.024107615731023633, -0.021769609192745256]",-38.459841483933744,0.0
B3,B3_diff_s43,null_climatological_frequency,0.891989736932197,0.908355983224128,-0.016366246291931,0.0005200168769865,"[-0.017385479370824648, -0.01534701321303748]",-31.47252909708012,2.064747278117085e-217
B3,B3_diff_s44,null_climatological_frequency,0.879161716048418,0.908355983224128,-0.02919426717571,0.0006594504912419,"[-0.030486790138544335, -0.02790174421287577]",-44.270597358608136,0.0
B3,B3_diffadv_s42,null_climatological_frequency,0.8946137717790393,0.908355983224128,-0.0137422114450886,0.0004698774787478,"[-0.014663171303434431, -0.012821251586742953]",-29.24637180251804,4.993579990220087e-188
